Volumic fraction f,K - Differential,G - Differential,E - Differential,nu - Differential
0.01,168.60185016849093,77.99178266102022,202.71766068093788,0.2996090983201414
0.0198989898989899,170.5522322638476,79.06853565323097,205.4556512088317,0.29922509321466223
0.029797979797979796,172.53797341733627,80.16441796139254,208.24216599951745,0.298844121214774
0.039696969696969696,174.55988119498215,81.27981906185639,211.07820922777742,0.2984662839070827
0.049595959595959596,176.6187845134574,82.41513666765633,213.9648072283369,0.2980916848513038
0.059494949494949496,178.71553425106788,83.57077686119788,216.90300890765607,0.2977204296419837
0.06939393939393938,180.85100391783752,84.74715430227076,219.89388633517996,0.29735262585264194
0.07929292929292929,183.02609041302154,85.94469251245087,222.938535520623,0.2969883828970923
0.08919191919191918,185.2417142441827,87.163823538852,226.03807571085727,0.29662781262747207
0.09909090909090908,187.49881978419998,88.40498828204296,229.19365018375146,0.2962710285789712
0.10898989898989898,189.79837695260176,89.66863687835989,232.40642739884493,0.2959181464647231
0.11888888888888888,192.14138173298034,90.95522876737695,235.67760125107833,0.29556928416857087
0.12878787878787878,194.5288576534871,92.26523323962807,239.00839256071103,0.29522456167192856
0.1386868686868687,196.96185335151654,93.5991280162774,242.40004550456536,0.29488410117672587
0.1485858585858586,199.44144593673792,94.95740124055855,245.8538326506034,0.2945480259499428
0.15848484848484848,201.9687429318258,96.34055099269904,249.37105421689031,0.2942164625765342
0.16838383838383839,204.5448820415623,97.7490855439185,252.95303861979485,0.29388953979596816
0.1782828282828283,207.1710315681953,99.18352333956136,256.6011425241594,0.2935673884344097
0.18818181818181817,209.84839019903887,100.64439282129345,260.3167504272505,0.2932501410658564
0.19808080808080808,212.57818937520693,102.13223301189397,264.1012763840968,0.29293793250041117
0.207979797979798,215.36169456572077,103.64759380817667,267.95616489620767,0.2926308998167445
0.21787878787878787,218.20020562746365,105.19103579196593,271.8828905695974,0.2923291824376288
0.22777777777777777,221.09505753853242,106.76313051472025,275.88295889194484,0.2920329216737737
0.23767676767676768,224.04762181675835,108.36446063027458,279.9579067890367,0.2917422610731052
0.24757575757575756,227.05930780699907,109.99561999118829,284.1093030785315,0.2914573466711283
0.25747474747474747,230.13156310986506,111.65721387647176,288.3387490666518,0.2911783263087945
0.2673737373737374,233.26587502361772,113.34985906737106,292.6478789817364,0.29090534999164475
0.2772727272727273,236.46377218318582,115.07418397318222,297.0383605542396,0.2906385702611792
0.2871717171717172,239.7268248969626,116.83082880548089,301.5118954760181,0.2903781414493966
0.29707070707070704,243.05664673516407,118.62044569483709,306.0702199492338,0.29012421997060234
0.30696969696969695,246.45489649542634,120.44369873294305,310.7151051365046,0.28987696494378584
0.31686868686868686,249.92327830067728,122.30126421472923,315.4483577249357,0.28963653708064047
0.32676767676767676,253.4635431734428,124.19383072621011,320.27182040522473,0.28940309889979876
0.33666666666666667,257.0774904607125,126.12209925590071,325.18737237568496,0.2891768147463295
0.3465656565656566,260.76697033208745,128.086783145264,330.19692967931377,0.28895785174351446
0.3564646464646465,264.5338843837896,130.0886083101337,335.30244580386034,0.2887463789469287
0.36636363636363634,268.38018713357667,132.128313345303,340.5059121778516,0.2885425672844863
0.37626262626262624,272.3078878442002,134.20664957756526,345.8093586088085,0.28834658974534133
0.38616161616161615,276.31905161568255,136.32438113349525,351.2148536206476,0.2881586210052973
0.39606060606060606,280.41580094099527,138.4822850014826,356.72450485759464,0.2879788373428974
0.40595959595959596,284.60031811619143,140.68115111379905,362.34045968269714,0.28780741703483304
0.41585858585858587,288.87484666798133,142.9217823963258,368.0649055249132,0.28764454008927665
0.4257575757575757,293.2416931366619,145.20499479046921,373.9000702240748,0.28749038820466377
0.43565656565656563,297.7032289135808,147.53161721252155,379.8482222428136,0.2873451447889858
0.44555555555555554,302.2618921309094,149.9024916831546,385.9116712588287,0.2872089947461352
0.45545454545454545,306.9201896014873,152.31847332258954,392.0927684635448,0.28708212441555375
0.46535353535353535,311.68069881856303,154.78043034815488,398.39390687076974,0.28696472149174024
0.47525252525252526,316.5460704594631,157.28924393526512,404.8175214086276,0.28685697534167276
0.4851515151515151,321.51903018130525,159.84580829791028,411.3660893607194,0.2867590765784796
0.495050505050505,326.6023807344702,162.45103068489263,418.04213067056213,0.2866712168833244
0.5049494949494949,331.7990042736722,165.10583130530426,424.84820811712245,0.28659358896754356
0.5148484848484849,337.1118650322167,167.81114319955373,431.7869274271889,0.2865263867302503
0.5247474747474747,342.54401187204024,170.56791212309528,438.8609373833757,0.28646980525463334
0.5346464646464646,348.098580226465,173.37709659397655,446.0729301719699,0.286424040242774
0.5445454545454546,353.7787948617462,176.23966773784971,453.42564142125366,0.2863892880679632
0.5544444444444444,359.58797263339346,179.15660914909745,460.9218502620569,0.2863657457327439
0.5643434343434344,365.5295258841553,182.12891662029412,468.56437920156657,0.28635361121276176
0.5742424242424242,371.6069643992073,185.15759816650234,476.3560943697696,0.28635308268961235
0.5841414141414141,377.8238985162741,188.24367381183,484.2999054366291,0.2863643585726536
0.594040404040404,384.18404215155306,191.38817540500605,492.3987655614273,0.28638763737476913
0.6039393939393939,390.6912166924923,194.59214629410738,500.65567117185583,0.2864231180614114
0.6138383838383838,397.34935367885663,197.85664118814245,509.0736619151357,0.2864709995532981
0.6237373737373737,404.16249790570293,201.1827259485464,517.6558205114219,0.2865314804508002
0.6336363636363637,411.13481104071684,204.57147730008657,526.4052725017867,0.28660475900460214
0.6435353535353535,418.2705752116379,208.02398255280417,535.3251859921812,0.2866910329829299
0.6534343434343434,425.57419742515134,211.54133925662353,544.4187713756667,0.28679049988244903
