Frequency,Mori-Tanaka - K',Mori-Tanaka - K'',Mori-Tanaka - G',Mori-Tanaka - G'',Mori-Tanaka - E',Mori-Tanaka - E'',Mori-Tanaka - nu',Mori-Tanaka - nu'',Differential - K',Differential - K'',Differential - G',Differential - G'',Differential - E',Differential - E'',Differential - nu',Differential - nu''
0.12024705,416667029.1571895,0.0,53.172046249752924,0.7439877380941761,159.5161319651538,2.2319630243978232,0.4999999361936027,-8.927844330569791e-10,5317.753662344123,2.2222477614160963,52.84508820871752,0.801815263142882,158.01196445035805,2.389806527095272,0.4950476289560521,-7.283069449523407e-05
0.1589405175879397,416667029.1571895,0.0,53.210609695798205,0.75222626588351,159.63182229347328,2.256678605523902,0.4999999361473267,-9.026706569066207e-10,5317.869039511766,2.2457046613498566,52.88670979093296,0.8103023386463535,158.13601947634223,2.4150903308555356,0.49504384776499694,-7.359808939597669e-05
0.19763398517587938,416667029.1571895,0.0,53.24912203496244,0.7604410902409887,159.74735930115574,2.2813230763576096,0.4999999361011119,-9.125284366640594e-10,5317.984210703952,2.269070850968134,52.92825638525846,0.8187576975071801,158.25985040954532,2.4402793776293574,0.4950400735647726,-7.436253840539788e-05
0.23632745276381908,416667029.1571895,0.0,53.287583362705654,0.7686322849348867,159.8627432745814,2.30589665820377,0.49999993605495835,-9.223578608511483e-10,5318.09916707552,2.2923467959805945,52.96972825698814,0.8271815168745414,158.38345804282173,2.4653741973757803,0.49503630632144685,-7.512405837329816e-05
0.2750209203517588,416667029.1571895,0.0,53.32599377426893,0.7767999234678653,159.9779744994733,2.3303995715703674,0.49999993600886583,-9.321590176710037e-10,5318.21391420868,2.3155329604021673,53.01112566995725,0.8355739724643443,158.50684316607698,2.4903753158061352,0.4950325460146349,-7.58826658182683e-05
0.3137143879396985,416667029.1571895,0.0,53.364353364674955,0.7849440790780673,160.0930532608997,2.3548320361718296,0.4999999359628343,-9.419319950093208e-10,5318.328452729706,2.3386298044535287,53.05244888654176,0.8439352385757218,158.6300065643618,2.5152832543764734,0.4950287926194899,-7.66383771908694e-05
0.3524078555276382,416667029.1571895,0.0,53.40266222872854,0.7930648247402096,160.2079798432749,2.3791942709323077,0.49999993591686376,-9.516768804356832e-10,5318.442783302395,2.3616377851258,53.09369816767141,0.8522654881057847,158.7529490184018,2.540098530346362,0.49502504611134057,-7.739120880782214e-05
0.3911013231155779,416667029.1571895,0.0,53.44092046101722,0.8011622331666678,160.3227545303616,2.4034864939889284,0.499999935870954,-9.613937612048664e-10,5318.556906578744,2.3845573562066695,53.13487377284081,0.8605648925644845,158.87567130462602,2.564821656823237,0.4950213064656439,-7.814117685409884e-05
0.42979479070351756,416667029.1571895,0.0,53.47945848905559,0.8103399860814601,160.43836860462298,2.4310197502291646,0.4999999358247084,-9.724070541196463e-10,5318.671840191077,2.4106609885642407,53.17634207477744,0.8700146555279057,158.99926571706254,2.5929729572804647,0.49501754030947553,-7.899549943442432e-05
0.46848825829145724,416667029.1571895,0.0,53.519116241417706,0.8233949310154077,160.5573418515766,2.4701845815230494,0.49999993577711915,-9.880729730082072e-10,5318.790168981979,2.4482311653686986,53.21903361834146,0.8836046020346893,159.12650654504475,2.633462854708936,0.49501366288343396,-8.02255318029743e-05
0.507181725879397,416667029.1571895,0.0,53.55872346054529,0.8364114158918377,160.67616349883266,2.5092340326495006,0.4999999357295905,-1.0036927398699458e-09,5318.908289865199,2.4856526341236074,53.26165119745768,0.8971423952669476,159.2535263394356,2.673796932643013,0.4950097923480515,-8.145071802380314e-05
0.5458751934673367,416667029.1571895,0.0,53.59828022674213,0.8493895611810971,160.79483378730265,2.5481684650195606,0.4999999356821225,-1.0192664992691533e-09,5319.026203427704,2.522926165154538,53.30419504093579,0.9106283287372515,159.3803257848741,2.7139760692112693,0.49500592868169374,-8.267108580618945e-05
0.5845686610552764,416667029.1571895,0.0,53.63778662020077,0.8623294869280583,160.9133529575641,2.586988238767846,0.4999999356347148,-1.0347943952595512e-09,5319.143910201262,2.560052523438244,53.34666537667385,0.9240626936230032,159.50690556326472,2.7540011355523006,0.49500207186276324,-8.388666263818714e-05
0.6232621286432161,416667029.1571895,0.0,53.6795063824506,0.8777720718879183,161.0385122336327,2.6333159894957827,0.49999993558465117,-1.0533254794291042e-09,5319.267959958688,2.6044939738661554,53.39151418090131,0.9401410307562718,159.64057417523398,2.8019048521249994,0.4949979988157576,-8.534190484412601e-05
0.6619555962311559,416667029.1571895,0.0,53.72229002724725,0.8944199589495514,161.16686315706534,2.683259646207485,0.49999993553331085,-1.073302924733862e-09,5319.395644337956,2.652428524135275,53.437494305969466,0.9574830695047251,159.77761430543754,2.8535738752907296,0.4949938236048753,-8.691158765500058e-05
0.7006490638190955,416667029.1571895,0.0,53.765017709465916,0.9110148771022133,161.2950461927708,2.73304439619935,0.4999999354820376,-1.093216807405983e-09,5319.522848430535,2.700158499150772,53.48339255113893,0.974753433482285,159.91440972263874,2.9050287548766347,0.49498965578768267,-8.84746149321276e-05
0.7393425314070352,416667029.1571895,0.0,53.80811377618299,0.9301880734267493,161.42433438188044,2.7905639800324766,0.49999993543032234,-1.1162246209229592e-09,5319.651170996644,2.7554619918851753,53.52969304898061,0.9947602084987723,160.05240427449857,2.9646381363698326,0.4949854513700177,-9.028579928771537e-05
