K,G,E,nu
153.93258426966293,154.33168316831683,347.02135775078943,0.1242712793209215
155.9322033898305,156.54613466334163,351.8824479185178,0.12389376037694656
157.95454545454547,158.79396984924622,356.8123764565714,0.1235073246021789
160.0,161.0759493670886,361.8126172376345,0.12311185704413072
162.06896551724137,163.39285714285714,366.88468647803217,0.12270723730982508
