4.72E+00	1.07E+02
5.02E+00	1.69E+02
5.19E+00	2.24E+02
5.32E+00	2.48E+02
5.50E+00	2.91E+02
5.72E+00	3.41E+02
5.92E+00	3.62E+02
6.12E+00	3.86E+02
6.32E+00	3.98E+02
6.52E+00	3.69E+02
6.72E+00	3.59E+02
6.92E+00	3.46E+02
7.12E+00	3.28E+02
7.19E+00	3.22E+02
7.52E+00	2.89E+02
7.72E+00	2.69E+02
3.12E+00	7.27E+00
3.42E+00	1.26E+01
3.59E+00	1.92E+01
3.72E+00	2.37E+01
3.90E+00	3.10E+01
4.12E+00	4.54E+01
4.32E+00	6.26E+01
4.52E+00	8.78E+01
4.72E+00	1.16E+02
4.92E+00	1.44E+02
5.12E+00	1.82E+02
5.32E+00	2.08E+02
5.52E+00	2.34E+02
5.59E+00	2.39E+02
5.92E+00	2.47E+02
6.12E+00	2.59E+02
1.82E+00	2.10E+00
2.12E+00	2.50E+00
2.29E+00	2.95E+00
2.42E+00	3.51E+00
2.60E+00	4.39E+00
2.82E+00	6.14E+00
3.02E+00	8.00E+00
3.22E+00	1.08E+01
3.42E+00	1.50E+01
3.62E+00	2.08E+01
3.82E+00	2.96E+01
4.02E+00	4.14E+01
4.22E+00	5.66E+01
4.29E+00	6.42E+01
4.62E+00	9.84E+01
4.82E+00	1.27E+02
9.18E-01	5.29E-01
1.22E+00	6.94E-01
1.39E+00	8.61E-01
1.52E+00	1.01E+00
1.70E+00	1.28E+00
1.92E+00	1.74E+00
2.12E+00	2.28E+00
2.32E+00	3.00E+00
2.52E+00	4.00E+00
2.72E+00	5.35E+00
2.92E+00	7.24E+00
3.12E+00	9.89E+00
3.32E+00	1.34E+01
3.39E+00	1.53E+01
3.72E+00	2.57E+01
3.92E+00	3.58E+01
2.18E-01	2.97E-01
5.19E-01	3.59E-01
6.95E-01	4.08E-01
8.20E-01	4.53E-01
9.96E-01	5.36E-01
1.22E+00	6.78E-01
1.42E+00	8.67E-01
1.62E+00	1.11E+00
1.82E+00	1.45E+00
2.02E+00	1.89E+00
2.22E+00	2.47E+00
2.42E+00	3.29E+00
2.62E+00	4.31E+00
2.69E+00	4.83E+00
3.02E+00	7.72E+00
3.22E+00	1.04E+01
